# Assembly Statistics Report
# Assembly name:  ASM107753v2
# Organism name:  Clostridioides difficile ATCC 9689 = DSM 1296 (firmicutes)
# Infraspecific name:  strain=ATCC 9689 = DSM 1296
# Taxid:          1121308
# BioSample:      SAMN03486969
# BioProject:     PRJNA281308
# Submitter:      Goettingen Genomics Laboratory
# Date:           2015-07-08
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: HGAP SMRTPortal v. 2.2.0
# Genome coverage: 116x
# Sequencing technology: PacBio; Illumina GAIIx
# GenBank assembly accession: GCA_001077535.2
# RefSeq assembly accession: GCF_001077535.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001077545.2	GCF_001077545.1	Primary Assembly
## GCA_003025025.1		viruses
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	4286205
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3
all	all	all	all	scaffold-N50	4109692
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	4109692
all	all	all	all	scaffold-N90	4109692
all	all	all	all	contig-count	3
all	all	all	all	contig-N50	4109692
all	all	all	all	contig-L50	1
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	3
all	all	all	all	top-level-count	3
all	all	all	all	component-count	3
Primary Assembly	all	all	all	total-length	4154879
Primary Assembly	all	all	all	ungapped-length	4154879
Primary Assembly	all	all	all	scaffold-count	2
Primary Assembly	all	all	all	scaffold-N50	4109692
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	4154879
Primary Assembly	all	all	assembled-molecule	ungapped-length	4154879
Primary Assembly	all	all	assembled-molecule	scaffold-count	2
Primary Assembly	all	all	assembled-molecule	scaffold-N50	4109692
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	total-length	4109692
Primary Assembly	na	Chromosome	all	ungapped-length	4109692
Primary Assembly	na	Chromosome	all	scaffold-count	1
Primary Assembly	na	Chromosome	all	scaffold-N50	4109692
Primary Assembly	na	Chromosome	all	spanned-gaps	0
Primary Assembly	na	Chromosome	all	unspanned-gaps	0
Primary Assembly	na	Chromosome	assembled-molecule	total-length	4109692
Primary Assembly	na	Chromosome	assembled-molecule	ungapped-length	4109692
Primary Assembly	na	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	na	Chromosome	assembled-molecule	scaffold-N50	4109692
Primary Assembly	na	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	na	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	unnamed	Plasmid	all	total-length	45187
Primary Assembly	unnamed	Plasmid	all	ungapped-length	45187
Primary Assembly	unnamed	Plasmid	all	scaffold-count	1
Primary Assembly	unnamed	Plasmid	all	scaffold-N50	45187
Primary Assembly	unnamed	Plasmid	all	spanned-gaps	0
Primary Assembly	unnamed	Plasmid	all	unspanned-gaps	0
Primary Assembly	unnamed	Plasmid	assembled-molecule	total-length	45187
Primary Assembly	unnamed	Plasmid	assembled-molecule	ungapped-length	45187
Primary Assembly	unnamed	Plasmid	assembled-molecule	scaffold-count	1
Primary Assembly	unnamed	Plasmid	assembled-molecule	scaffold-N50	45187
Primary Assembly	unnamed	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	unnamed	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	scaffold-count	0
